acceptedScientificName;Lugar;decimalLongitude;decimalLatitude;year;month;day;eventDate;occurrenceStatus ;DEP,,
Lontra felina (Molina, 1782);Quebrada Lagartijas;-71.54301;-17.2531;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Quebrada Lobos;-71.55813;-17.25475;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Quebrada Lobos;-71.55508;-17.25475;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Quebrada Lobos;-71.55684;-17.2548;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Peñón Lobos;-71.55902;-17.25639;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Peñón Lobos;-71.56079;-17.25681;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Quebrada Carrizales;-71.54916;-17.25691;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Punta Carrizales;-71.54515;-17.25718;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Quebrada Carrizales;-71.54847;-17.25725;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Punta Lobos;-71.55277;-17.25727;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Punta Lobos;-71.55142;-17.25763;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Punta Acapulco;-71.52051;-17.26556;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Punta Acapulco;-71.52101;-17.26585;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Punta Acapulco;-71.52095;-17.26588;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Punta Acapulco;-71.52574;-17.26772;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Isla Grande;-71.52842;-17.26801;2022;11;24;NA;1;Arequipa,
Lontra felina (Molina, 1782);Acantilado Yerba Buena;-71.47317;-17.30827;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Acantilado Yerba Buena;-71.47342;-17.30828;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Acantilado Yerba Buena;-71.4732;-17.30832;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Acantilado Yerba Buena;-71.47313;-17.30842;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Acantilado Yerba Buena;-71.47332;-17.31244;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Acantilado Yerba Buena;-71.4738;-17.31503;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Acantilado Yerba Buena;-71.47396;-17.31589;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Yerba Buena;-71.47407;-17.31625;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Yerba Buena;-71.4738;-17.31944;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Yerba Buena;-71.47504;-17.31967;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Peñas;-71.46744;-17.32061;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Peñas;-71.46713;-17.32122;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Peñas;-71.46649;-17.32337;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Peñas;-71.46524;-17.32412;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Peñas;-71.46326;-17.32483;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Peñas;-71.46345;-17.32487;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Peñas;-71.46017;-17.32614;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa El Azangarino;-71.45778;-17.3285;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Acantilado Chagllanto;-71.45321;-17.3306;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Acantilado Chagllanto;-71.45239;-17.33178;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43095;-17.35651;2023;1;20;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43086;-17.35671;2022;11;28;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43086;-17.35671;2022;11;28;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43193;-17.35788;2022;11;28;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43187;-17.35792;2023;1;20;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43149;-17.35822;2022;11;28;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43093;-17.35857;2023;1;20;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43093;-17.35857;2023;1;20;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43133;-17.36275;2022;11;28;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43083;-17.36411;2023;1;20;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.43105;-17.36543;2023;1;20;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Apacheta Sur;-71.43039;-17.36566;2023;1;20;NA;1;Moquegua,
Lontra felina (Molina, 1782);Quebrada Platanales;-71.41034;-17.37862;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Quebrada Platanales;-71.41034;-17.37862;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Quebrada Platanales;-71.40688;-17.38125;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Puerta Grande;-71.40533;-17.38135;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Quebrada Platanales;-71.4069;-17.38196;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Puerta Grande;-71.40529;-17.3822;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Puerta Grande;-71.40513;-17.38221;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Puente;-71.40381;-17.38348;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Peñas Platanales;-71.40228;-17.38422;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Doble puerta;-71.40228;-17.38422;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Tres Puertas;-71.40377;-17.38462;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Cruz;-71.39943;-17.38627;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Sendero Platanales;-71.39248;-17.38982;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Sendero Platanales;-71.39352;-17.39217;2023;1;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Sendero Platanales;-71.39342;-17.39244;2022;11;26;NA;1;Moquegua,
Lontra felina (Molina, 1782);Puerto de Ilo;-71.34746;-17.64387;2022;11;27;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Coles Norte;-71.37272;-17.69373;2023;1;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Coles Sur;-71.3658;-17.69988;2023;1;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Coles Norte;-71.37812;-17.70007;2023;1;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Coles Sur;-71.3655;-17.70244;2023;1;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Coles Norte;-71.37972;-17.70259;2023;1;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Coles Sur;-71.36673;-17.70266;2023;1;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Coles Sur;-71.36614;-17.70294;2023;1;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Chorrillos;-71.1774;-17.7927;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Chorrillos;-71.1775;-17.7933;2023;1;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Chorrillos;-71.17754;-17.79396;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17664;-17.79551;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17594;-17.79647;2023;1;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17618;-17.79677;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17617;-17.79678;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17574;-17.79816;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17541;-17.79874;2023;1;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17469;-17.79954;2023;1;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.17186;-17.80267;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.16959;-17.80399;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Tronco de Oro;-71.17337;-17.80409;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.16981;-17.80808;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.16914;-17.80951;2023;1;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.16357;-17.81281;2023;1;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.16404;-17.81298;2022;11;25;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rocosa de Picata;-71.10354;-17.85033;2023;1;22;NA;1;Tacna,
Lontra felina (Molina, 1782);Playa Rocosa de Picata;-71.10407;-17.85127;2023;1;22;NA;1;Tacna,
Lontra felina (Molina, 1782);Lechucera;-71.10236;-17.85448;2023;1;22;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Picata;-71.09694;-17.86805;2023;1;22;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Picata;-71.09694;-17.86805;2023;1;22;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Picata;-71.09714;-17.86821;2023;1;22;NA;1;Tacna,
Lontra felina (Molina, 1782);Puerto Grau;-70.88438;-17.99422;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Puerto Grau;-70.88436;-17.99443;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta El Faro;-70.88715;-18.00727;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88066;-18.01187;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88056;-18.01231;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88024;-18.01244;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88024;-18.01244;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88025;-18.01248;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88025;-18.01248;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88025;-18.01248;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88025;-18.01248;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Quebrada Morro Sama;-70.87381;-18.01277;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Quebrada Morro Sama;-70.8756;-18.01416;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Quebrada Morro Sama;-70.87287;-18.01459;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Vila Vila;-70.72932;-18.11851;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85424;-18.02643;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85236;-18.02604;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85571;-18.02592;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.8558;-18.02556;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85622;-18.02496;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85777;-18.0244;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85783;-18.02431;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85807;-18.02404;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85868;-18.02327;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85876;-18.02287;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86008;-18.02246;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85981395;-18.022448;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85977;-18.02242;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86049057;-18.022134;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86049057;-18.022134;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86055;-18.02163;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.8609653;-18.021479;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86116;-18.02123;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86121616;-18.021088;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86136;-18.02098;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86145796;-18.020734;2022;10;5;NA;1;Tacna,
