"","acceptedScientificName","LON","LAT"
"5","Lontra felina (Molina, 1782)",-71.55902,-17.25639
"6","Lontra felina (Molina, 1782)",-71.56079,-17.25681
"7","Lontra felina (Molina, 1782)",-71.54916,-17.25691
"8","Lontra felina (Molina, 1782)",-71.54515,-17.25718
"9","Lontra felina (Molina, 1782)",-71.54847,-17.25725
"10","Lontra felina (Molina, 1782)",-71.55277,-17.25727
"11","Lontra felina (Molina, 1782)",-71.55142,-17.25763
"12","Lontra felina (Molina, 1782)",-71.52051,-17.26556
"13","Lontra felina (Molina, 1782)",-71.52101,-17.26585
"14","Lontra felina (Molina, 1782)",-71.52095,-17.26588
"15","Lontra felina (Molina, 1782)",-71.52574,-17.26772
"16","Lontra felina (Molina, 1782)",-71.52842,-17.26801
"17","Lontra felina (Molina, 1782)",-71.47317,-17.30827
"18","Lontra felina (Molina, 1782)",-71.47342,-17.30828
"19","Lontra felina (Molina, 1782)",-71.4732,-17.30832
"20","Lontra felina (Molina, 1782)",-71.47313,-17.30842
"21","Lontra felina (Molina, 1782)",-71.47332,-17.31244
"22","Lontra felina (Molina, 1782)",-71.4738,-17.31503
"23","Lontra felina (Molina, 1782)",-71.47396,-17.31589
"24","Lontra felina (Molina, 1782)",-71.47407,-17.31625
"25","Lontra felina (Molina, 1782)",-71.4738,-17.31944
"26","Lontra felina (Molina, 1782)",-71.47504,-17.31967
"27","Lontra felina (Molina, 1782)",-71.46744,-17.32061
"28","Lontra felina (Molina, 1782)",-71.46713,-17.32122
"29","Lontra felina (Molina, 1782)",-71.46649,-17.32337
"30","Lontra felina (Molina, 1782)",-71.46524,-17.32412
"31","Lontra felina (Molina, 1782)",-71.46326,-17.32483
"32","Lontra felina (Molina, 1782)",-71.46345,-17.32487
"33","Lontra felina (Molina, 1782)",-71.46017,-17.32614
"34","Lontra felina (Molina, 1782)",-71.45778,-17.3285
"35","Lontra felina (Molina, 1782)",-71.45321,-17.3306
"36","Lontra felina (Molina, 1782)",-71.45239,-17.33178
"40","Lontra felina (Molina, 1782)",-71.43193,-17.35788
"41","Lontra felina (Molina, 1782)",-71.43187,-17.35792
"42","Lontra felina (Molina, 1782)",-71.43149,-17.35822
"43","Lontra felina (Molina, 1782)",-71.43093,-17.35857
"45","Lontra felina (Molina, 1782)",-71.43133,-17.36275
"46","Lontra felina (Molina, 1782)",-71.43083,-17.36411
"47","Lontra felina (Molina, 1782)",-71.43105,-17.36543
"48","Lontra felina (Molina, 1782)",-71.43039,-17.36566
"64","Lontra felina (Molina, 1782)",-71.34746,-17.64387
"66","Lontra felina (Molina, 1782)",-71.3658,-17.69988
"68","Lontra felina (Molina, 1782)",-71.3655,-17.70244
"71","Lontra felina (Molina, 1782)",-71.36614,-17.70294
"90","Lontra felina (Molina, 1782)",-71.10407,-17.85127
"91","Lontra felina (Molina, 1782)",-71.10236,-17.85448
"92","Lontra felina (Molina, 1782)",-71.09694,-17.86805
"94","Lontra felina (Molina, 1782)",-71.09714,-17.86821
"97","Lontra felina (Molina, 1782)",-70.88715,-18.00727
"98","Lontra felina (Molina, 1782)",-70.88066,-18.01187
"99","Lontra felina (Molina, 1782)",-70.88056,-18.01231
"100","Lontra felina (Molina, 1782)",-70.88024,-18.01244
"102","Lontra felina (Molina, 1782)",-70.88025,-18.01248
"107","Lontra felina (Molina, 1782)",-70.8756,-18.01416
"109","Lontra felina (Molina, 1782)",-70.72932,-18.11851
"110","Lontra felina (Molina, 1782)",-70.85424,-18.02643
"111","Lontra felina (Molina, 1782)",-70.85236,-18.02604
"112","Lontra felina (Molina, 1782)",-70.85571,-18.02592
"113","Lontra felina (Molina, 1782)",-70.8558,-18.02556
"114","Lontra felina (Molina, 1782)",-70.85622,-18.02496
"115","Lontra felina (Molina, 1782)",-70.85777,-18.0244
"116","Lontra felina (Molina, 1782)",-70.85783,-18.02431
"117","Lontra felina (Molina, 1782)",-70.85807,-18.02404
"118","Lontra felina (Molina, 1782)",-70.85868,-18.02327
"119","Lontra felina (Molina, 1782)",-70.85876,-18.02287
